pvalue,gene_name
0.450178387,
0.319237107,PIP5K1A
0.073749566,SHBG
0.973891438,IL1R2
0.043646914,FLJ22679
0.199481038,
0.424625514,PIG11
0.152340648,OSTF1
0.263712696,
0.030709989,BBX
0.275812898,FUT9
0.132139583,TCF19
0.084177825,TYRP1
0.294050172,DNCLI2
0.330223854,FTSJ2
0.166855544,KIAA0731
0.242575518,SLC9A6
0.487151474,MACMARCKS
0.208520361,LOC51101
0.049943398,LOC51054
0.616701201,GTF2A2
0.132397107,LOC81691
0.272053077,FLJ21343
0.854712817,KIAA0212
0.449021589,
0.682061618,CHML
0.061841321,TM4SF1
0.314213331,SMPD2
0.650710882,FLJ23342
0.843192325,
0.345429938,LOC90120
0.385649405,IGFBP7
0.86168832,KIAA1164
0.05379445,JWA
0.135180949,HCDI
0.013045217,SLC1A5
0.807014308,C21orf45
0.622249118,SUPT4H1
0.326509,
0.818367232,
0.173973258,
0.326521168,TNFRSF21
0.181936676,KIAA1109
0.482513556,JM27
0.271600694,MOBP
0.273294203,DKFZP547G091
0.37794962,SAC
0.500201489,FLJ10312
0.329821231,
0.583010682,LOC51045
0.589530046,DDX28
0.333219158,PCTP
0.979597097,SLC12A3
0.147254134,PDCL
0.266492187,MSI1
0.326875293,MGC14433
0.026176517,
0.720138796,
0.020924145,
0.11294193,LOC51041
0.197731045,FLJ23109
0.375357825,PYGL
0.44689238,CACNA1C
0.824536974,
0.582057651,LETM1
0.154247375,LOC51319
0.157899664,FLJ12168
0.335974427,
0.794474483,
0.592346007,PEX10
0.695740071,AUP1
0.315451545,FLJ20739
0.932755352,STARD7
0.132598041,
0.088832935,MSE55
0.46296062,RBM10
0.53358262,IGSF3
0.516218749,PPP2R2C
0.237891226,
0.30703376,
0.718649486,
0.550764648,FLJ20150
0.198189832,IL13RA2
0.905346759,RIG-I
0.072684174,IGFBP3
0.346457361,
0.299040937,
0.603801071,DSG1
0.387225917,SLC7A2
0.257993444,LRPPRC
0.688594114,
0.172175247,
0.722585,KIAA0721
0.178811944,KIAA1194
0.044056549,KIAA0842
0.610987192,ENPP3
0.352487986,CDH19
0.403378438,
0.444178082,SFRP5
0.432982372,
0.821348572,
0.119118101,
0.206168241,COE2
0.697383105,BLCAP
0.130941553,MYL1
0.012128489,LASS2
0.146184221,
0.421866533,KIAA0602
0.76680501,ICAM5
0.803805586,SUOX
0.799038621,FLJ14827
0.261569382,CARKL
0.422508246,SAGE
0.049408343,
0.159320524,
0.337183598,ITGA9
0.214180178,SRP46
0.179394186,FLJ10402
0.364163971,OT7T022
0.033091841,HK3
0.98617854,STAT3
0.192470849,
0.713036637,KIAA1596
0.827235352,CTSW
0.103776623,
0.4040582,APBA3
0.453949405,
0.433645619,ID1
0.507205535,
0.219668975,FLJ20285
0.031808693,ADCY9
0.249256888,FLJ12899
0.968855787,OSGEP
0.159653248,
0.140919921,EGFL5
0.253063287,LOC64146
0.556407818,
0.303204901,TU12B1-TY
0.467552239,CDH18
0.52696627,
0.481841669,
0.730556655,
0.236664186,FLJ10895
0.373073411,CMG1
0.200238572,GADD45B
0.681810905,FLJ21940
0.751457942,
0.207421241,FLJ23384
0.804429534,HPCAL1
0.735254834,
0.84450228,
0.894976044,DDX6
0.535011931,
0.445418457,NFIB
0.022875331,BRCA1
0.048055493,TTK
0.210237678,MGC16384
0.599471975,SLC16A8
0.322863633,CLSP
0.298164308,MKL1
0.774094185,
0.196261082,RAGA
0.132282215,OAT
0.197236339,ADCY3
0.226492116,FLJ22729
0.954663953,KIAA0573
0.774085027,SS-56
0.132211441,
0.099079119,DNAJA4
0.22253996,APOB48R
0.178365906,
0.115209665,
