"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.PVL","log2fold_change","Auc"
"946","RP1-79C4.4","hurdle",2.2618681674567e-06,-3.264335,-2.71365,0.550685,0.529
"778","OSR2","hurdle",1.46742487888167e-06,-2.920982,-2.221145,0.699837,0.529
"670","MLH3","hurdle",1.09886452596352e-06,-2.478426,-1.92262,0.555806,0.529
"635","MAMDC2","hurdle",8.18054510231156e-07,-3.228924,-2.637935,0.590989,0.529
"459","GPER1","hurdle",9.65197000380331e-12,-3.248859,-2.571025,0.677834,0.529
"322","DTNA","hurdle",2.60430135435776e-09,-3.145055,-2.489259,0.655796,0.529
"272","CSDC2","hurdle",2.82408880516632e-13,-3.285152,-2.555054,0.730098,0.529
"225","CHST3","hurdle",0.00022308110572843,-3.093043,-2.536159,0.556884,0.529
"95","ARSJ","hurdle",2.75970945330187e-05,-3.1302,-2.537105,0.593095,0.529
"39","AGTR1","hurdle",6.93798548827406e-08,-3.001522,-2.277238,0.724284,0.529
"25","ADCY6","hurdle",1.63893687121365e-07,-2.812773,-2.141127,0.671646,0.529
"1134","TMEM200B","hurdle",2.45769103820925e-06,-3.255218,-2.655422,0.599796,0.528
"1120","TIMM44","hurdle",9.97711405126039e-06,-2.547671,-2.028896,0.518775,0.528
"966","RXRB","hurdle",0.000319026637847226,-2.482037,-1.979029,0.503008,0.528
"958","RP3-525N10.2","hurdle",1.48357266635978e-07,-3.298424,-2.643795,0.654629,0.528
"954","RP11-803D5.4","hurdle",0.000130659925250107,-3.227006,-2.694913,0.532093,0.528
"951","RP11-499P20.2","hurdle",1.01181289692303e-08,-3.214147,-2.614426,0.599721,0.528
"866","PPP1R3C","hurdle",0.000127436801325827,-3.133639,-2.586115,0.547524,0.528
"842","PLEKHH3","hurdle",4.55091472909964e-05,-2.529885,-2.00787,0.522015,0.528
"577","KIF1BP","hurdle",4.31451849434359e-05,-2.525831,-2.000312,0.525519,0.528
"557","ITIH3","hurdle",5.81009293330154e-14,-3.293396,-2.557049,0.736347,0.528
"458","GPC6","hurdle",0.000863518541591529,-3.123495,-2.504099,0.619396,0.528
"384","FAM175A","hurdle",3.37506874324561e-05,-2.682011,-2.150821,0.53119,0.528
"318","DNAJB5","hurdle",1.84567008298441e-07,-3.22105,-2.637137,0.583913,0.528
"230","CLIP2","hurdle",0.000197505349558504,-3.195771,-2.685683,0.510088,0.528
"142","C1QTNF7","hurdle",2.19165424337482e-07,-3.218782,-2.61679,0.601992,0.528
"1081","STOML1","hurdle",3.10341719738396e-05,-2.966644,-2.421109,0.545535,0.527
"1067","SPRYD3","hurdle",1.89545280136722e-06,-2.432155,-1.924675,0.50748,0.527
"1028","SLCO1C1","hurdle",2.42348018445609e-15,-3.31133,-2.592673,0.718657,0.527
"1013","SIPA1L2","hurdle",0.00104900976559601,-2.722853,-2.210796,0.512057,0.527
"930","RGAG4","hurdle",2.00743682046096e-05,-3.179691,-2.65797,0.521721,0.527
"916","RBM24","hurdle",2.86708217057769e-05,-3.152658,-2.565734,0.586924,0.527
"828","PI15","hurdle",1.36622365177733e-06,-3.06264,-2.398854,0.663786,0.527
"819","PGM5-AS1.1","hurdle",6.95761842068093e-11,-3.24089,-2.480558,0.760332,0.527
"704","MYL4","hurdle",5.96646597073376e-11,-3.31611,-2.739846,0.576264,0.527
"560","ITPK1","hurdle",2.24444769700309e-05,-2.548975,-2.024699,0.524276,0.527
"420","FMO3","hurdle",3.0730567260418e-07,-3.257577,-2.574546,0.683031,0.527
"239","CNNM2","hurdle",7.540202421207e-07,-3.142069,-2.531574,0.610495,0.527
"231","CLIP3","hurdle",1.39718506464675e-07,-3.099812,-2.465063,0.634749,0.527
"186","CCDC151","hurdle",0.000147037407760584,-3.109808,-2.524742,0.585066,0.527
"135","C16orf45","hurdle",2.3610553020975e-05,-2.446563,-1.934645,0.511918,0.527
"24","ADCY5","hurdle",1.01766118011148e-08,-3.238982,-2.672105,0.566877,0.527
"18","ADAMTS12","hurdle",0.000289297573389618,-3.071272,-2.481803,0.589469,0.527
"1136","TMEM246","hurdle",2.38894552403932e-09,-3.153814,-2.496114,0.6577,0.526
"1059","SOX6","hurdle",5.1736775846865e-07,-3.173353,-2.606231,0.567122,0.526
"1047","SNTB1","hurdle",2.80959402733514e-06,-3.143304,-2.570173,0.573131,0.526
"912","RASSF8","hurdle",0.00355865543318241,-3.080562,-2.563056,0.517506,0.526
"859","PPARGC1B","hurdle",8.15161076272872e-07,-3.241575,-2.72149,0.520085,0.526
"850","PM20D2","hurdle",6.78220888606468e-06,-2.948648,-2.335497,0.613151,0.526
"735","NGFR","hurdle",6.5132384612254e-05,-2.950755,-2.304041,0.646714,0.526
"506","HRAT92","hurdle",1.62966457225047e-08,-3.282332,-2.633541,0.648791,0.526
"468","GRID1","hurdle",3.33580898208749e-09,-3.271342,-2.712378,0.558964,0.526
"411","FHOD1","hurdle",0.00182187134011011,-2.796806,-2.296758,0.500048,0.526
"242","CNR1","hurdle",6.08267925900936e-07,-3.263007,-2.61496,0.648047,0.526
"52","ANGPT4","hurdle",3.03535335734339e-14,-3.316574,-2.599513,0.717061,0.526
"38","AGT","hurdle",4.88410541542929e-10,-3.121904,-2.326655,0.795249,0.526
"1217","ZNF143","hurdle",3.00611607385598e-06,-2.691839,-2.183425,0.508414,0.525
"1143","TMTC3","hurdle",0.000261898380880116,-2.662324,-2.143469,0.518855,0.525
"1003","SFTA1P","hurdle",3.18511333863759e-14,-3.308741,-2.578761,0.72998,0.525
"952","RP11-598F7.5","hurdle",4.75982988842239e-12,-3.321928,-2.809968,0.51196,0.525
"875","PRRT2","hurdle",4.8882369698337e-05,-3.080654,-2.561977,0.518677,0.525
"812","PELI2","hurdle",3.40688411726609e-05,-2.914651,-2.387567,0.527084,0.525
"623","LRRC47","hurdle",6.79713085655071e-08,-2.355538,-1.804023,0.551515,0.525
"217","CES1","hurdle",5.1411928425992e-06,-2.990461,-2.35309,0.637371,0.525
"157","CACNA1A","hurdle",7.07450486816641e-05,-3.162323,-2.648643,0.51368,0.525
"124","BMPR1A","hurdle",3.48158543741923e-07,-2.859091,-2.30312,0.555971,0.525
"110","B4GALNT1","hurdle",9.01367750491369e-09,-3.262685,-2.699346,0.563339,0.525
"1068","SPTB","hurdle",3.29932990067023e-11,-3.312566,-2.686932,0.625634,0.524
"717","NCF2","hurdle",6.35151636041837e-06,-3.078271,-2.558972,0.519299,0.524
"586","LAMA3","hurdle",6.78016424269248e-05,-2.637869,-2.069259,0.56861,0.524
"235","CMTM5","hurdle",5.02418286385174e-10,-3.311239,-2.758404,0.552835,0.524
"224","CHRDL1","hurdle",4.68200966545327e-06,-3.074998,-2.404743,0.670255,0.524
"1166","TSPAN8","hurdle",1.29353459090567e-09,-3.193174,-2.596734,0.59644,0.523
"988","SEMA6D","hurdle",0.000332795258264863,-3.115397,-2.605616,0.509781,0.523
"579","KIZ","hurdle",3.00985254656316e-06,-2.594431,-2.032814,0.561617,0.523
"414","FJX1","hurdle",1.91984217520408e-05,-3.139759,-2.605762,0.533997,0.523
"208","CDCA7L","hurdle",0.000336025605474027,-3.005347,-2.491302,0.514045,0.523
"1200","WDR86","hurdle",4.10607490270602e-06,-2.980372,-2.443851,0.536521,0.522
"1184","USP2","hurdle",6.15541124665801e-06,-3.221412,-2.701025,0.520387,0.522
"289","CXCL9","hurdle",0.00313609071236913,-2.81968,-2.12259,0.69709,0.522
"127","BST1","hurdle",5.47432749152462e-05,-3.02457,-2.519629,0.504941,0.522
"125","BRSK2","hurdle",5.5447218593341e-10,-3.28887,-2.722451,0.566419,0.522
"114","BBS10","hurdle",1.24101605731387e-09,-3.111487,-2.595587,0.5159,0.522
"1139","TMEM51","hurdle",4.83340282445072e-08,-2.910553,-2.298036,0.612517,0.521
"654","MCM10","hurdle",3.547474371979e-09,-3.282585,-2.704928,0.577657,0.521
"250","COL25A1","hurdle",8.13703443312268e-08,-3.286492,-2.678947,0.607545,0.521
"947","RP11-1094M14.11","hurdle",4.87965523327192e-06,-2.603211,-2.05645,0.546761,0.52
"913","RASSF8-AS1","hurdle",8.23125382346174e-05,-3.03842,-2.525381,0.513039,0.52
"882","PTGER1","hurdle",3.51414261888989e-06,-3.284463,-2.749202,0.535261,0.52
"792","PCP4L1","hurdle",6.68553882562604e-09,-3.279312,-2.640214,0.639098,0.52
"661","MGAT3","hurdle",1.34318062609744e-07,-3.241,-2.73127,0.50973,0.52
"636","MAMSTR","hurdle",2.41729743337777e-07,-3.072904,-2.548853,0.524051,0.52
"284","CTNNA3","hurdle",4.68890080662604e-10,-3.308329,-2.743156,0.565173,0.52
"976","SCN3A","hurdle",5.04567995018373e-08,-3.310187,-2.807557,0.50263,0.519
"7","AC017002.2","hurdle",3.78800040766197e-07,-3.079829,-2.365875,0.713954,0.519
"511","HSPA12A","hurdle",1.83576136479418e-07,-3.181608,-2.653696,0.527912,0.518
"172","CARKD","hurdle",4.07029318832368e-07,-2.731445,-2.209544,0.521901,0.517
"865","PPP1R1A","hurdle",1.66451122574922e-06,-3.184829,-2.68169,0.503139,0.516
"741","NKAPL","hurdle",9.21610367472104e-07,-3.234037,-2.716653,0.517384,0.516
"191","CCL13","hurdle",6.78230632614608e-05,-3.245821,-2.677999,0.567822,0.516
"220","CH25H","hurdle",0.00182739160868422,-2.572449,-1.978954,0.593495,0.514
"233","CLSTN2","hurdle",1.31085965190038e-07,-2.860028,-2.260593,0.599435,0.511
