"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.PVL","log2fold_change","Auc"
"698","MXRA8","hurdle",2.2770325479442e-24,-1.9052034,-0.8447543,1.0604491,0.613
"571","KCNMB1","hurdle",3.79377917005208e-41,-3.003509,-1.267169,1.73634,0.613
"1185","UTRN","hurdle",5.56500533010988e-19,-1.3643024,-0.5206381,0.8436643,0.612
"1037","SMIM3","hurdle",3.08576367971748e-28,-2.49833,-1.103089,1.395241,0.612
"275","CSPG4","hurdle",2.60525016842022e-52,-3.254583,-1.347541,1.907042,0.612
"184","CCDC102B","hurdle",6.92661451816165e-47,-3.070994,-1.245573,1.825421,0.612
"638","MAP1A","hurdle",1.39409512101179e-21,-2.657621,-1.236852,1.420769,0.611
"559","ITM2C","hurdle",6.58842649772387e-20,-1.9656414,-0.8971593,1.0684821,0.611
"820","PHB2","hurdle",1.294106716533e-18,-0.7924599,-0.1362537,0.6562062,0.61
"753","NR3C1","hurdle",6.5557288069022e-21,-1.0872446,-0.4281944,0.6590502,0.61
"678","MRFAP1","hurdle",5.55978469686803e-12,-0.6442974,-0.07493048,0.56936692,0.61
"526","IFI16","hurdle",9.13419316811345e-19,-0.69746627,-0.06715637,0.6303099,0.61
"379","FAM127A","hurdle",1.02842280551204e-16,-1.483541,-0.606214,0.877327,0.61
"227","CKB","hurdle",1.44547799933256e-40,-2.3241216,-0.8038919,1.5202297,0.61
"1094","SYTL2","hurdle",1.81459561857546e-22,-1.927569,-0.832477,1.095092,0.609
"883","PTGIR","hurdle",9.97643069870894e-41,-3.19715,-1.467849,1.729301,0.609
"590","LAMC1","hurdle",7.99625114246271e-22,-2.200448,-0.9579496,1.2424984,0.608
"254","COL5A2","hurdle",8.48323434954711e-35,-2.1114116,-0.9902503,1.1211613,0.608
"171","CAPZB","hurdle",2.48303644101407e-14,-0.52436119,0.01929422,0.54365541,0.608
"116","BCAM","hurdle",1.7462057486416e-16,-0.3162821,0.3703934,0.6866755,0.608
"927","RERG","hurdle",1.95112553636241e-21,-1.8626142,-0.8233115,1.0393027,0.607
"853","PMP22","hurdle",7.22179697045119e-18,-1.2919135,-0.4400151,0.8518984,0.607
"545","INPP4B","hurdle",2.64757337095271e-23,-1.8748001,-0.8263591,1.048441,0.607
"452","GNAI1","hurdle",4.32688632177465e-29,-2.881659,-1.409605,1.472054,0.607
"245","COBLL1","hurdle",6.56876112974674e-28,-2.337808,-1.077055,1.260753,0.607
"83","ARHGEF25","hurdle",1.05138783699972e-37,-3.053183,-1.450873,1.60231,0.607
"1204","XRCC6","hurdle",4.99070540889037e-13,-0.7678358,-0.1925698,0.575266,0.606
"1043","SNCG","hurdle",3.11838994787121e-19,-1.5585835,-0.4369735,1.12161,0.606
"887","PTN","hurdle",1.90450760203541e-28,-2.0721317,-0.9016173,1.1705144,0.606
"797","PDE3A","hurdle",2.10250680700391e-47,-3.259672,-1.529037,1.730635,0.606
"606","LINC00152","hurdle",3.84666407037189e-21,-1.3437103,-0.3846929,0.9590174,0.606
"1035","SMIM10","hurdle",2.87260399035865e-27,-2.803132,-1.41918,1.383952,0.605
"881","PTEN","hurdle",1.25615688267564e-25,-2.1775043,-0.9915393,1.185965,0.605
