"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.T_cells","log2fold_change","Auc"
"409","PSTPIP1","hurdle",3.31230566790973e-57,-3.209867,-1.66302,1.546847,0.555
"323","LPXN","hurdle",8.7093659595698e-45,-2.814831,-1.475276,1.339555,0.555
"316","LINC00861","hurdle",1.73857959108824e-62,-3.31528,-1.683612,1.631668,0.555
"266","IL2RB","hurdle",8.90416401928597e-65,-3.286834,-1.726138,1.560696,0.555
"158","DUSP4","hurdle",6.29415331694569e-64,-0.67999914,0.03494743,0.71494657,0.555
"480","SCML4","hurdle",4.64402687850998e-54,-3.245843,-1.715413,1.53043,0.554
"63","CAMK4","hurdle",8.08158628326373e-61,-3.284811,-1.744975,1.539836,0.554
"547","TNFRSF1B","hurdle",5.71478383915692e-54,-2.162372,-1.022142,1.14023,0.553
"509","SOCS1","hurdle",1.07709867315691e-67,-1.974941,-0.8141548,1.1607862,0.553
"495","SKAP1","hurdle",4.23113893006917e-77,-2.424205,-1.086622,1.337583,0.553
"448","RP11-138A9.1","hurdle",9.910574662037e-80,-2.2324002,-0.9149435,1.3174567,0.553
"178","FAM65B","hurdle",4.10822540758114e-48,-2.980648,-1.567553,1.413095,0.553
"20","AKNA","hurdle",5.12804493503378e-49,-2.662818,-1.354211,1.308607,0.553
"9","AC092580.4","hurdle",2.7543649336176e-59,-3.300895,-1.732332,1.568563,0.553
"473","SAMD3","hurdle",1.02777348905648e-54,-3.285315,-1.80426,1.481055,0.552
"118","CLK1","hurdle",6.45748415480049e-111,-0.8167437,-0.1248046,0.6919391,0.552
"22","AMD1","hurdle",1.04844828898115e-84,-1.052201,-0.2842607,0.7679403,0.551
"599","ZNF683","hurdle",3.06163037427031e-58,-3.309935,-1.663571,1.646364,0.55
"400","PRF1","hurdle",3.84514350910094e-58,-3.302968,-1.697811,1.605157,0.55
"363","OASL","hurdle",5.84374649095377e-45,-2.706166,-1.320762,1.385404,0.55
"162","EMP3","hurdle",1.98557204995216e-35,-1.3568883,-0.5616913,0.795197,0.55
"52","BCAS2","hurdle",1.29944882950783e-82,-1.5286821,-0.5180003,1.0106818,0.55
"71","CCDC64","hurdle",3.21837611887803e-54,-3.087057,-1.754295,1.332762,0.549
"427","RASAL3","hurdle",1.22418845903148e-41,-3.024146,-1.794321,1.229825,0.548
"487","SERPINB9","hurdle",4.97541289486157e-42,-2.490445,-1.28573,1.204715,0.547
"440","RHOF","hurdle",2.52359379001633e-47,-2.974274,-1.632676,1.341598,0.547
"336","MBP","hurdle",3.01206473293994e-44,-2.603165,-1.388851,1.214314,0.547
"34","ARAP2","hurdle",8.32938728554279e-46,-2.870697,-1.55973,1.310967,0.547
"19","AKAP13","hurdle",2.22226622696719e-54,-1.1054248,-0.4105174,0.6949074,0.547
"584","WAS","hurdle",2.28055044002191e-32,-2.946371,-1.750989,1.195382,0.546
"493","SIRPG","hurdle",7.00779494402231e-55,-3.321928,-1.898284,1.423644,0.546
"335","MBNL1","hurdle",1.45219738244459e-67,-1.2020087,-0.4465921,0.7554166,0.546
"329","LYAR","hurdle",4.58116399069233e-75,-2.212821,-0.950747,1.262074,0.546
"186","FKBP5","hurdle",1.48593706300226e-68,-1.8905877,-0.8647546,1.0258331,0.546
"188","FMNL1","hurdle",4.06984116255713e-38,-2.880839,-1.660028,1.220811,0.545
"531","TCF7","hurdle",3.13629674862025e-56,-2.549851,-1.299516,1.250335,0.544
"452","RP11-291B21.2","hurdle",1.23206801258177e-53,-3.317656,-1.711463,1.606193,0.544
"388","PIM2","hurdle",3.05091491204609e-49,-2.559344,-1.283264,1.27608,0.544
"274","ITGA4","hurdle",4.04815834200422e-35,-2.887979,-1.642876,1.245103,0.544
"249","IFI16","hurdle",1.81115176769962e-40,-0.7809988,-0.2701833,0.5108155,0.544
"527","TANK","hurdle",1.37512295832845e-85,-1.621692,-0.599003,1.022689,0.543
"253","IGLC2","hurdle",3.41629523845285e-29,-1.5347197,-0.7458336,0.7888861,0.543
"173","FAM107B","hurdle",4.49547783799144e-66,-1.8560829,-0.8397093,1.0163736,0.543
"567","TRDC","hurdle",6.22583291493361e-47,-3.287614,-1.66929,1.618324,0.542
"537","TMC8","hurdle",2.42072737524209e-36,-3.141014,-1.915627,1.225387,0.542
"511","SPN","hurdle",1.93018474124959e-40,-3.186658,-1.92238,1.264278,0.542
"429","RASGRP1","hurdle",9.30844169803459e-39,-3.143225,-1.916065,1.22716,0.542
"373","PBX4","hurdle",2.00700082108914e-43,-3.242299,-1.95368,1.288619,0.542
"345","MRPL1","hurdle",2.15823284896815e-70,-2.277413,-1.002729,1.274684,0.542
"161","EML4","hurdle",7.39868409718456e-75,-1.6564934,-0.6947598,0.9617336,0.542
"103","CD84","hurdle",3.61250324755026e-29,-2.916075,-1.75801,1.158065,0.542
"545","TNFAIP8","hurdle",2.22107106673855e-45,-2.280005,-1.230556,1.049449,0.541
"532","TESPA1","hurdle",4.0542117128682e-46,-3.306728,-2.006779,1.299949,0.541
"483","SELPLG","hurdle",7.20215186329542e-36,-3.018084,-1.748526,1.269558,0.541
"218","GPRIN3","hurdle",5.17659782136408e-33,-2.918104,-1.755194,1.16291,0.541
"203","GIMAP7","hurdle",3.41956715195268e-16,-1.542001,-0.873621,0.66838,0.541
"189","FNBP1","hurdle",9.32026644730599e-55,-2.0031476,-0.9749103,1.0282373,0.541
"135","CXCR3","hurdle",1.02180553415078e-39,-3.257674,-2.013503,1.244171,0.541
"578","TXK","hurdle",4.74603322686822e-48,-3.32001,-1.981355,1.338655,0.54
"502","SLC7A5","hurdle",2.00140070621326e-37,-2.557241,-1.465009,1.092232,0.54
"443","RNF125","hurdle",5.73000797199349e-54,-2.541648,-1.344458,1.19719,0.54
"389","PIP4K2A","hurdle",6.6191118936764e-44,-2.606443,-1.473824,1.132619,0.54
"377","PDE3B","hurdle",2.36595789654472e-41,-3.269254,-2.056159,1.213095,0.54
"295","KLRG1","hurdle",3.87958930582116e-42,-3.174117,-1.876093,1.298024,0.54
"145","DEF6","hurdle",4.94047627336086e-43,-2.821251,-1.619377,1.201874,0.54
"137","CXCR6","hurdle",1.98129008011965e-45,-3.311571,-1.868867,1.442704,0.54
"82","CCR6","hurdle",3.83101036056292e-41,-3.160442,-1.787071,1.373371,0.54
"77","CCND2","hurdle",5.17267823477666e-32,-2.391702,-1.404077,0.987625,0.54
"419","PTTG1","hurdle",1.60616120847298e-32,-2.685534,-1.542075,1.143459,0.539
"291","KLRC1","hurdle",5.61366686135933e-46,-3.312688,-1.757952,1.554736,0.539
"97","CD5","hurdle",3.96048831524709e-40,-3.299567,-2.08905,1.210517,0.539
"70","CBLB","hurdle",1.29548488100977e-58,-2.0402604,-0.9699311,1.0703293,0.539
"61","BTN3A2","hurdle",1.18318232529634e-55,-2.151624,-1.101195,1.050429,0.539
"498","SLAMF1","hurdle",1.68525296829433e-35,-3.172562,-1.958968,1.213594,0.538
"454","RP11-347P5.1","hurdle",3.66799238288811e-39,-3.240466,-2.097423,1.143043,0.538
"362","NR4A3","hurdle",1.64692908009629e-22,-2.102011,-1.176575,0.925436,0.538
"312","LINC00152","hurdle",1.9714759779691e-46,-1.4880433,-0.6756775,0.8123658,0.538
"534","THEMIS","hurdle",3.70405921530505e-40,-3.308874,-2.079846,1.229028,0.537
"497","SLA2","hurdle",3.5161775027553e-36,-3.271643,-2.107914,1.163729,0.537
"315","LINC00649","hurdle",1.19289742621122e-37,-3.073425,-1.906204,1.167221,0.537
"305","LCP2","hurdle",4.88322607235726e-28,-2.71578,-1.642964,1.072816,0.537
"62","C16orf54","hurdle",2.01034373766602e-36,-3.238449,-2.028439,1.21001,0.537
"51","BATF","hurdle",6.64735161171131e-53,-2.0914072,-0.9051825,1.1862247,0.537
"4","AC006129.2","hurdle",2.34791496060965e-32,-3.17479,-1.992842,1.181948,0.537
"492","SH3KBP1","hurdle",1.36370366655479e-40,-2.106669,-1.175409,0.93126,0.536
"418","PTPRCAP","hurdle",3.18582906306858e-34,-3.203533,-1.879472,1.324061,0.536
"341","MIAT","hurdle",1.87850396627098e-32,-3.104729,-1.9222,1.182529,0.536
"302","LAX1","hurdle",1.04029929596558e-37,-3.256364,-2.060145,1.196219,0.536
